Sub_tariff,6_digits,CIIU4,description,avgtariff
203110000,20311,1011,"Carne de animales de la especie porcina, fresca o refrigerada, en canales o medias canales.",0.200000003
203110000,20311,1011,"Carne de animales de la especie porcina, fresca o refrigerada, en canales o medias canales.",0.200000003
203110000,20311,1011,"Carne de animales de la especie porcina, fresca o refrigerada, en canales o medias canales.",0.200000003
203120000,20312,1011,"Piernas, paletas y sus trozos de animales de la especie porcina, frescos o refrigerados, sin deshuesar.",0.200000003
203120000,20312,1011,"Piernas, paletas y sus trozos de animales de la especie porcina, frescos o refrigerados, sin deshuesar.",0.200000003
203120000,20312,1011,"Piernas, paletas y sus trozos de animales de la especie porcina, frescos o refrigerados, sin deshuesar.",0.200000003
203190000,20319,1011,"Las demás carnes de animales de la especie porcina, frescas o refrigeradas.",0.200000003
203190000,20319,1011,"Las demás carnes de animales de la especie porcina, frescas o refrigeradas.",0.200000003
203190000,20319,1011,"Las demás carnes de animales de la especie porcina, frescas o refrigeradas.",0.200000003
203191000,20319,1011,Carne deshuesada de la especie porcina fresca o refrigerada ,0.200000003
203191000,20319,1011,Carne deshuesada de la especie porcina fresca o refrigerada ,0.200000003
203192000,20319,1011,"Chuletas, costillas de la especie porcina fresca o refrigerada.",0.200000003
203193000,20319,1011,Tocino con partes magras fresco o refrigerado.,0.200000003
203199000,20319,1011,Las demás carnes de animales de la especie porcina frescas o refrigeradas.,0.200000003
203210000,20321,1011,"Carne de animales de la especie porcina congelada, en canales o medias canales.",0.200000003
203210000,20321,1011,"Carne de animales de la especie porcina congelada, en canales o medias canales.",0.200000003
203210000,20321,1011,"Carne de animales de la especie porcina congelada, en canales o medias canales.",0.200000003
203220000,20322,1011,"Piernas, paletas y sus trozos de animales de la especie porcina, congelados, sin deshuesar.",0.200000003
203220000,20322,1011,"Piernas, paletas y sus trozos de animales de la especie porcina, congelados, sin deshuesar.",0.200000003
203220000,20322,1011,"Piernas, paletas y sus trozos de animales de la especie porcina, congelados, sin deshuesar.",0.200000003
203290000,20329,1011,"Las demás carnes de animales de la especie porcina, congeladas.",0.200000003
203290000,20329,1011,"Las demás carnes de animales de la especie porcina, congeladas.",0.200000003
203290000,20329,1011,"Las demás carnes de animales de la especie porcina, congeladas.",0.200000003
203291000,20329,1011,"Carne deshuesada de la especie porcina, congelada",0.200000003
203291000,20329,1011,"Carne deshuesada de la especie porcina, congelada",0.200000003
203292000,20329,1011,"Chuletas, costillas de la especie porcina  congeladas",0.200000003
203293000,20329,1011,Tocino con partes magras congelado,0.200000003
203299000,20329,1011,Las demás carnes de la especie porcina congeladas,0.200000003
204100000,20410,1011,"Canales o medias canales, de cordero frescas o refrigeradas.",0.150000006
204100000,20410,1011,"Canales o medias canales, de cordero frescas o refrigeradas.",0.150000006
204100000,20410,1011,"Canales o medias canales, de cordero frescas o refrigeradas.",0.150000006
204210000,20421,1011,"Las demás carnes de animales de la especie ovina, en canales o medias canales, frescas o refrigeradas.",0.150000006
204210000,20421,1011,"Las demás carnes de animales de la especie ovina, en canales o medias canales, frescas o refrigeradas.",0.150000006
204210000,20421,1011,"Las demás carnes de animales de la especie ovina, en canales o medias canales, frescas o refrigeradas.",0.150000006
204220000,20422,1011,"Los demás cortes (trozos) sin deshuesar, de carne de animales de la especie ovina, frescos o refrigerados.",0.150000006
204220000,20422,1011,"Los demás cortes (trozos) sin deshuesar, de carne de animales de la especie ovina, frescos o refrigerados.",0.150000006
204220000,20422,1011,"Los demás cortes (trozos) sin deshuesar, de carne de animales de la especie ovina, frescos o refrigerados.",0.150000006
204230000,20423,1011,"Las demás carnes de animales de la especie ovina, deshuesadas, frescas o refrigeradas.",0.150000006
204230000,20423,1011,"Las demás carnes de animales de la especie ovina, deshuesadas, frescas o refrigeradas.",0.150000006
204230000,20423,1011,"Las demás carnes de animales de la especie ovina, deshuesadas, frescas o refrigeradas.",0.150000006
204300000,20430,1011,"Canales o medias canales, de cordero, congeladas.",0.150000006
204300000,20430,1011,"Canales o medias canales, de cordero, congeladas.",0.150000006
204300000,20430,1011,"Canales o medias canales, de cordero, congeladas.",0.150000006
204410000,20441,1011,"Las demás carnes de animales de la especie ovina, en canales o medias canales, congeladas.",0.150000006
204410000,20441,1011,"Las demás carnes de animales de la especie ovina, en canales o medias canales, congeladas.",0.150000006
204410000,20441,1011,"Las demás carnes de animales de la especie ovina, en canales o medias canales, congeladas.",0.150000006
204420000,20442,1011,"Los demás cortes (trozos) de carne de animales de la especie ovina sin deshuesar, congelados.",0.150000006
204420000,20442,1011,"Los demás cortes (trozos) de carne de animales de la especie ovina sin deshuesar, congelados.",0.150000006
204420000,20442,1011,"Los demás cortes (trozos) de carne de animales de la especie ovina sin deshuesar, congelados.",0.150000006
204430000,20443,1011,"Las demás carnes de animales de la especie ovina deshuesadas, congeladas.",0.150000006
204430000,20443,1011,"Las demás carnes de animales de la especie ovina deshuesadas, congeladas.",0.150000006
204430000,20443,1011,"Las demás carnes de animales de la especie ovina deshuesadas, congeladas.",0.150000006
204500000,20450,1011,"Carne de animales de la especie caprina, fresca, refrigerada o congelada.",0.150000006
204500000,20450,1011,"Carne de animales de la especie caprina, fresca, refrigerada o congelada.",0.150000006
205000000,20500,1011,"Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.",0.150000006
205000000,20500,1011,"Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.",0.150000006
205000000,20500,1011,"Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.",0.150000006
206100000,20610,1011,"Despojos comestibles de animales de la especie bovina, frescos o refrigerados.",0.800000012
206100000,20610,1011,"Despojos comestibles de animales de la especie bovina, frescos o refrigerados.",0.800000012
206100000,20610,1011,"Despojos comestibles de animales de la especie bovina, frescos o refrigerados.",0.800000012
206210000,20621,1011,"Lenguas de animales de la especie bovina, congeladas.",0.800000012
206210000,20621,1011,"Lenguas de animales de la especie bovina, congeladas.",0.800000012
206210000,20621,1011,"Lenguas de animales de la especie bovina, congeladas.",0.800000012
206220000,20622,1011,"Hígados de animales de la especie bovina, congelados.",0.800000012
206220000,20622,1011,"Hígados de animales de la especie bovina, congelados.",0.800000012
206220000,20622,1011,"Hígados de animales de la especie bovina, congelados.",0.800000012
206290000,20629,1011,"Los demás despojos comestibles de animales de la especie bovina, congelados.",0.800000012
206290000,20629,1011,"Los demás despojos comestibles de animales de la especie bovina, congelados.",0.800000012
206290000,20629,1011,"Los demás despojos comestibles de animales de la especie bovina, congelados.",0.800000012
206300000,20630,1011,"Despojos comestibles de animales de la especie porcina, frescos o refrigerados.",0.150000006
206300000,20630,1011,"Despojos comestibles de animales de la especie porcina, frescos o refrigerados.",0.150000006
206300000,20630,1011,"Despojos comestibles de animales de la especie porcina, frescos o refrigerados.",0.150000006
206410000,20641,1011,"Hígados de animales de la especie porcina, congelados.",0.150000006
206410000,20641,1011,"Hígados de animales de la especie porcina, congelados.",0.150000006
206410000,20641,1011,"Hígados de animales de la especie porcina, congelados.",0.150000006
206490000,20649,1011,"Los demás despojos comestibles de animales de la especie porcina, congelados.",0.150000006
206490000,20649,1011,"Los demás despojos comestibles de animales de la especie porcina, congelados.",0.150000006
206490000,20649,1011,"Los demás despojos comestibles de animales de la especie porcina, congelados.",0.150000006
206491000,20649,1011,"Piel comestible (cuero, pellejo) de animales de la especie porcina, congelados",0.150000006
206499000,20649,1011,"Los demás despojos comestibles de animales de la especie porcina, congelados, (excepto, piel comestible: cuero y pellejo)",0.150000006
206800000,20680,1011,"Los demás despojos comestibles de animales de las especies ovina, caprina, caballar, asnal o mular, frescos o refrigerados.",0.150000006
206800000,20680,1011,"Los demás despojos comestibles de animales de las especies ovina, caprina, caballar, asnal o mular, frescos o refrigerados.",0.150000006
206800000,20680,1011,"Los demás despojos comestibles de animales de las especies ovina, caprina, caballar, asnal o mular, frescos o refrigerados.",0.150000006
206900000,20690,1011,"Los demás despojos comestibles de animales de las especies ovina, caprina, caballar, asnal o mular, congelados.",0.150000006
