hsfull,CIIU4
0306139120,1012
0306139190,1012
0306139900,1012
0306140000,1012
0306140000,1012
0306140000,1012
0306140000,1012
0306150000,1012
0306160000,1012
0306171100,1012
0306171200,1012
0306171300,1012
0306171400,1012
0306171900,1012
0306179100,1012
0306179900,1012
0306190000,1012
0306190000,1012
0306190000,1012
0306190000,1012
0306210000,0311
0306210000,0311
0306210000,0311
0306210000,0311
0306220000,0311
0306220000,0311
0306220000,0311
0306220000,0311
0306230000,0311
0306230010,0321
0306230011,0321
0306230019,0322
0306230020,0311
0306230090,0311
0306230091,0321
0306230099,0311
0306231100,0321
0306231100,0321
0306231900,0311
0306231900,0311
0306239100,0321
0306239100,0321
0306239900,0311
0306239900,0311
0306240000,0311
0306240000,0311
0306240000,0311
0306240000,0311
0306250000,0311
0306260000,0311
0306271100,0321
0306271900,0311
0306279100,0312
0306279200,0321
0306279900,0311
0306290000,0311
0306291000,0311
0306291000,0311
0306299000,0311
0306299000,0311
0306299000,0311
0306310000,0311
0306320000,0311
0306330000,0311
0306340000,0311
0306350000,0311
0306361100,0321
0306361900,0311
0306369100,0321
0306369200,0312
0306369900,0311
0306390000,0311
0306910000,0311
0306920000,0311
0306930000,0311
0306940000,0311
0306951000,0312
0306959000,0311
0306991000,0311
0306999000,0311
0307000000,1012
0307100000,0321
0307100000,0321
0307110000,0311
0307120000,1012
0307190000,1012
0307210000,0311
0307210000,0311
0307211000,0311
0307219000,0311
0307221000,1012
0307229000,1012
0307290000,1012
0307290000,1012
0307291000,1012
0307291000,1012
0307299000,1012
0307299000,1012
0307310000,0311
0307310000,0311
0307320000,1012
0307390000,1012
0307390000,1012
0307390000,1012
0307410000,0311
0307410000,0311
0307420000,0311
0307430000,1012
0307490000,1012
0307490000,1012
0307490000,1012
0307510000,0311
0307510000,0311
0307520000,1012
0307590000,1012
0307590000,1012
0307590000,1012
0307600000,0149
0307600000,0149
0307600000,0149
0307710000,0311
0307720000,1012
0307790000,1012
0307810000,0311
0307820000,0311
0307830000,1012
0307840000,1012
0307870000,1012
0307880000,1012
0307890000,1012
0307910000,0311
0307911000,0311
0307911000,0311
0307919000,0311
0307919000,0311
0307921000,1012
0307922000,1012
0307929000,1012
0307991000,1012
0307991000,1012
0307992000,1012
0307992000,1012
0307992000,1012
0307993000,1012
0307994000,1012
0307994000,1012
0307995000,1012
0307995000,1012
0307999000,1012
0307999000,1012
0307999000,1012
0308110000,0311
0308120000,1012
0308190000,1012
0308210000,0311
0308220000,1012
0308290000,1012
0308300000,1012
0308900000,1012
0308900010,1012
0308900090,1012
0401100000,1040
0401100000,1040
0401200000,1040
0401200000,1040
0401300000,1040
0401300000,1040
0401400000,1040
0401500000,1040
0402100000,1040
0402100010,1040
0402100090,1040
0402101000,1040
0402109000,1040
0402210000,1040
0402210010,1040
0402210090,1040
0402211010,1040
0402211090,1040
0402211100,1040
0402211100,1040
0402211900,1040
0402219000,1040
0402219100,1040
0402219900,1040
0402290000,1040
0402290010,1040
0402290090,1040
0402291010,1040
0402291090,1040
0402291100,1040
0402291900,1040
0402299000,1040
0402299100,1040
0402299900,1040
0402911000,1040
0402911000,1040
0402919000,1040
0402919000,1040
0402991000,1040
0402991000,1040
0402999000,1040
0402999000,1040
0403100000,1040
0403100000,1040
0403900000,1040
0403900000,1040
0403901000,1040
0403909000,1040
0404100000,1040
0404101000,1040
0404101000,1040
0404109000,1040
0404109000,1040
0404900000,1040
0404900000,1040
0405001000,1040
0405002000,1040
0405009000,1040
0405100000,1040
0405200000,1040
0405901000,1040
0405902000,1040
0405909000,1040
0406100000,1040
0406100000,1040
0406100000,1040
0406200000,1040
0406200000,1040
0406300000,1040
0406300000,1040
0406400000,1040
0406400000,1040
0406400000,1040
0406900000,1040
0406901000,1040
0406901000,1040
0406902000,1040
0406902000,1040
0406903000,1040
0406903000,1040
0406904000,1040
0406905000,1040
0406906000,1040
0406909000,1040
0406909000,1040
0407001000,0145
0407001000,0145
0407002000,1089
0407002000,1089
0407009000,0145
0407009000,0145
0407110000,0145
0407190000,0149
0407211000,0145
0407219000,0145
0407291000,0145
0407299000,0145
0407900000,0149
0408110000,1089
0408110000,1089
0408190000,1089
0408190000,1089
0408910000,1089
0408910000,1089
0408990000,1089
0408990000,1089
0409000000,0149
0409000000,0149
0409001000,0149
0409009000,0149
0410000000,0149
0410000000,0149
0501000000,9602
0501000000,9602
0502100000,1011
0502100000,1011
0502900000,1011
0502900000,1011
0503000000,1011
0503000000,1011
0504001000,1011
0504001000,1011
0504002000,1011
0504002000,1011
0504003000,1011
0504003000,1011
0505100000,1011
0505100000,1011
0505900000,1011
0505900000,1011
0506100000,1011
0506100000,1011
0506900000,1011
0506900000,1011
0507100000,1011
0507100000,1011
0507900000,1011
0507900000,1011
0507900010,1011
0507900090,1011
0508000000,0311
0508000000,0311
0508000010,0311
0508000020,0311
0508000090,0311
0509000000,0311
0509000000,0311
0510001000,1011
0510001000,1011
0510001000,1011
0510009000,1011
0510009000,1011
0511100000,0141
0511100000,0141
0511911000,1012
0511911000,1012
0511912000,1012
0511912000,1012
0511912000,1012
0511919000,1012
0511919000,1012
0511991000,1011
0511991000,1011
0511991000,1011
0511992000,1011
0511992000,1011
0511993000,0149
0511993000,0149
0511993000,0149
0511994000,0141
0511994000,0141
0511994000,0141
0511999000,1011
0511999000,1011
0511999010,0311
0511999010,0141
0511999020,1011
0511999020,1011
0511999090,1011
0511999090,1011
0601100000,0130
0601100000,0130
0601200000,0130
0601200000,0130
0602100000,0130
0602100000,0130
0602101000,0130
0602109000,0130
0602200000,0130
0602200000,0130
0602300000,0130
0602300000,0130
0602400000,0130
0602400000,0130
0602900000,0130
0602901000,0130
0602909000,0130
0602910000,0130
0602990000,0130
0603100011,0125
0603100019,0125
0603100020,0125
0603100030,0125
0603100040,0125
0603100090,0125
0603101010,0125
0603101010,0125
0603101090,0125
0603101090,0125
0603101091,0125
0603101091,0125
0603101099,0125
0603101099,0125
0603101100,0125
0603101900,0125
0603102000,0125
0603102000,0125
0603102010,0125
0603102090,0125
0603103000,0125
0603104000,0125
0603104000,0125
0603105000,0125
0603109000,0125
0603109000,0125
0603109010,0125
0603109020,0125
0603109030,0125
0603109040,0125
0603109090,0125
0603110000,0125
0603121000,0125
0603129000,0125
0603130000,0125
0603141000,0125
0603149000,0125
0603150000,0125
0603191000,0125
0603192000,0125
0603193000,0125
0603194000,0125
0603199000,0125
0603199010,0125
0603199090,0125
0603900000,0125
0603900000,0125
0603900000,0125
0604100000,0230
0604100000,0230
0604200000,0230
0604900000,0230
0604910000,0230
0604910000,0230
0604990000,0230
0604990000,0230
0701100000,0113
0701100000,0113
0701900000,0113
0701900000,0113
0702000000,0113
0702000000,0113
0703100000,0113
0703100000,0113
0703200000,0113
0703200000,0113
0703201000,0113
0703209000,0113
0703900000,0113
0703900000,0113
0703900000,0113
0704100000,0113
0704100000,0113
0704200000,0113
0704200000,0113
0704900000,0113
0704900000,0113
0705110000,0113
